7,No revisar celular hasta las 12,1,#57ce73,1,6
8,Levantarse 5 am,1,#57ce73,3,6
9,Hacer ejercicio 6 am,1,#57ce73,4,6
10,Meditar 7:30,1,#57ce73,6,6
11,Acostarse de 22 a 23,1,#57ce73,13,6
12,Hora de Ingles a 21:00,1,#3bcbc4,16,7
13,Oracle,1,#076723,0,8
14,Topaz,1,#076723,11,8
15,Git,1,#076723,0,8
16,Pruebas Automatizadas,1,#076723,0,8
17,Java Script,1,#076723,0,8
18,Portal Web Personal a la 20:00,1,#b3c783,0,9
19,Aplicacion Control Habitos a las 20:00,1,#fff305,10,10
20,Fap,1,#f14242,-1,11
21,Porn,1,#f14242,-2,11
22,Leno,1,#f14242,-3,11
23,Beber,1,#f14242,-4,11
24,Comer cero azucar/aceite,1,#18ec2f,15,6
